count	title	author	year	lists	key
5	Journey to the End of the Night	Louis-Ferdinand Céline	1932	bokklubben_world_library,classic_books_challenge,greatest_books_top200,le_monde_100_books,observer_100_greatest_novels_2003	journey to the end of the night|celine
5	The Big Sleep	Raymond Chandler	1939	greatest_books_top200,guardian_100_best_novels_english_2015,le_monde_100_books,observer_100_greatest_novels_2003,time_100_novels	big sleep|chandler
5	Robinson Crusoe	Daniel Defoe	1719	bookbub_classics_lifetime,classic_books_challenge,greatest_books_top200,guardian_100_best_novels_english_2015,observer_100_greatest_novels_2003	robinson crusoe|defoe
5	A Tale of Two Cities	Charles Dickens	1859	bbc_big_read_top100,goodreads_lifetime_100_pdf,greatest_books_top200,penguin_100_classics,worldcat_library100	tale of two cities|dickens
5	Bleak House	Charles Dickens	1852-3	bbc_big_read_top100,greatest_books_top200,guardian_100_best_novels_2026,penguin_100_classics,worldcat_library100	bleak house|dickens
5	As I Lay Dying	William Faulkner	1930	classic_books_challenge,greatest_books_top200,guardian_100_best_novels_english_2015,modern_library_prh_novels,observer_100_greatest_novels_2003	as i lay dying|faulkner
5	Tom Jones	Henry Fielding	1749	classic_books_challenge,great_books_western_world,greatest_books_top200,guardian_100_best_novels_english_2015,observer_100_greatest_novels_2003	tom jones|fielding
5	Faust	Johann Wolfgang von Goethe	1832	bokklubben_world_library,classic_books_challenge,great_books_western_world,greatest_books_top200,jeffrich_100_books	faust|goethe
5	The Wind in the Willows	Kenneth Grahame	1908	bbc_big_read_top100,greatest_books_top200,guardian_100_best_novels_english_2015,observer_100_greatest_novels_2003,worldcat_library100	wind in the willows|grahame
5	A Farewell to Arms	Ernest Hemingway	1929	classic_books_challenge,greatest_books_top200,guardian_100_best_novels_2026,modern_library_prh_novels,worldcat_library100	farewell to arms|hemingway
5	The Odyssey	Homer	8th century BCE	bokklubben_world_library,classic_books_challenge,goodreads_lifetime_100_pdf,great_books_western_world,greatest_books_top200	odyssey|homer
5	Les Miserables	Victor Hugo	1862	classic_books_challenge,goodreads_lifetime_100_pdf,greatest_books_top200,penguin_100_classics,worldcat_library100	miserables|hugo
5	Their Eyes Were Watching God	Zora Neale Hurston	1937	bookbub_classics_lifetime,greatest_books_top200,guardian_100_best_novels_2026,pbs_great_american_read,time_100_novels	their eyes were watching god|hurston
5	The Portrait of a Lady	Henry James	1881	classic_books_challenge,greatest_books_top200,guardian_100_best_novels_2026,jeffrich_100_books,observer_100_greatest_novels_2003	portrait of a lady|james
5	The Castle	Franz Kafka	1926	bokklubben_world_library,classic_books_challenge,greatest_books_top200,jeffrich_100_books,penguin_100_classics	castle|kafka
5	The Golden Notebook	Doris Lessing	1962	bokklubben_world_library,greatest_books_top200,guardian_100_best_novels_2026,guardian_100_best_novels_english_2015,time_100_novels	golden notebook|lessing
5	The Chronicles of Narnia	C.S. Lewis	1950	bbc_big_read_top100,goodreads_lifetime_100_pdf,pbs_great_american_read,time_100_novels,worldcat_library100	chronicles of narnia|lewis
5	Buddenbrooks	Thomas Mann	1901	bokklubben_world_library,greatest_books_top200,guardian_100_best_novels_2026,jeffrich_100_books,penguin_100_classics	buddenbrooks|mann
5	Anne of Green Gables	Lucy Maud Montgomery	1908	bbc_big_read_top100,bookbub_classics_lifetime,goodreads_lifetime_100_pdf,pbs_great_american_read,worldcat_library100	anne of green gables|montgomery
5	The Man Without Qualities	Robert Musil	1930–32	bokklubben_world_library,greatest_books_top200,guardian_100_best_novels_2026,jeffrich_100_books,le_monde_100_books	man without qualities|musil
5	Wide Sargasso Sea	Jean Rhys	1966	greatest_books_top200,guardian_100_best_novels_2026,modern_library_prh_novels,penguin_100_classics,time_100_novels	wide sargasso sea|rhys
5	Harry Potter (series)	J.K. Rowling	1997	bbc_big_read_top100,bookbub_classics_lifetime,goodreads_lifetime_100_pdf,pbs_great_american_read,worldcat_library100	harry potter|rowling
5	Hamlet	William Shakespeare	1603	bokklubben_world_library,classic_books_challenge,goodreads_lifetime_100_pdf,great_books_western_world,greatest_books_top200	hamlet|shakespeare
